time_s,left_rad_s,right_rad_s,left_ctrl,right_ctrl,left_error,right_error
3.54,5.175333055352678,6.9004440738035715,5.258380719243134,7.011174292324181,0.8297001363982588,1.1062668485310105
3.56,5.180335714362061,6.907114285816083,5.262879588016885,7.017172784022517,0.8246669446473218,1.0995559261964285
3.58,5.185308025850096,6.913744034466797,5.26735116540268,7.023134887203575,0.8196642856379386,1.0928857141839172
3.6,5.190250173913379,6.920333565217839,5.2717956169575295,7.029060822610041,0.8146919741499037,1.0862559655332031
3.62,5.1951623415317085,6.926883122042279,5.276213107234146,7.034950809645532,0.8097498260866214,1.079666434782161
3.64,5.20004471057487,6.933392947433161,5.280603799787041,7.040805066382724,0.8048376584682915,1.0731168779577214
3.66,5.2048974618093675,6.939863282412491,5.284967857178566,7.046623809571425,0.7999552894251298,1.0666070525668392
3.68,5.209720774905114,6.946294366540154,5.289305440984939,7.052407254646589,0.7951025381906325,1.0601367175875094
3.7,5.214514828442092,6.95268643792279,5.293616711802222,7.058155615736299,0.7902792250948858,1.0537056334598462
3.72,5.219279799916959,6.959039733222613,5.297901829252263,7.0638691056696885,0.7854851715579079,1.0473135620772096
3.74,5.2240158657496245,6.9653544876661675,5.302160951988612,7.0695479359848195,0.7807202000830413,1.040960266777387
3.7600000000000002,5.228723201289783,6.971630935053045,5.306394237702386,7.0751923169365165,0.7759841342503755,1.0346455123338325
3.7800000000000002,5.233401980823401,6.977869307764537,5.310601843128107,7.080802457504146,0.7712767987102174,1.028369064946955
3.8000000000000003,5.238052377579179,6.984069836772241,5.314783924049514,7.086378565399354,0.7665980191765991,1.0221306922354634
3.8200000000000003,5.242674563734958,6.990232751646613,5.3189406353053155,7.091920847073756,0.7619476224208208,1.0159301632277593
3.84,5.2472687104241,6.9963582805654685,5.323072130794936,7.097429507726582,0.7573254362650417,1.0097672483533868
3.86,5.2518349877418204,7.002446650322429,5.3271785634842,7.102904751312268,0.7527312895759,1.0036417194345315
3.88,5.256373564751488,7.008498086335319,5.331260085411006,7.108346780548009,0.7481650122581796,0.9975533496775713
3.9,5.260884609490886,7.014512812654516,5.33531684769095,7.113755796921268,0.7436264352485118,0.9915019136646812
3.92,5.265368288978431,7.020491051971242,5.33934900052292,7.119132000697229,0.7391153905091139,0.985487187345484
